Skip to main content
DIGITAdmin Console
Management

Super Admin

ke

Phase 1

Tenant

Phase 2

Boundary

Phase 3

Common

Phase 4

Employee

Phase 1: Tenant & Branding Setup

Create tenant and configure branding assets

✓ Upload
2. Preview
3. Branding
Use Existing Tenant

These tenants are already configured under ke (created via deploy bootstrap, MCP, or a previous wizard run). Pick one to skip tenant creation and jump straight to Phase 2.

Code	Name	Description	Action
ke.tgt818221	Target Tenant 818221	—	Use this

ke.tgt044458	Target Tenant 044458	—	Use this

ke.tgt042134	Target Tenant 042134	—	Use this

ke.tgt921142	Target Tenant 921142	—	Use this

ke.tgt714804	Target Tenant 714804	—	Use this

ke.tgt605286	Target Tenant 605286	—	Use this

ke.tgt862439	Target Tenant 862439	—	Use this

ke.tgt551692	Target Tenant 551692	—	Use this

ke.tgt924280	Target Tenant 924280	—	Use this

ke.tgt364345	Target Tenant 364345	—	Use this

ke.tgt753893	Target Tenant 753893	—	Use this

ke.tgt181369	Target Tenant 181369	—	Use this

ke.tgt739000	Target Tenant 739000	—	Use this

ke.tgt197468	Target Tenant 197468	—	Use this

ke.tgt610624	Target Tenant 610624	—	Use this

ke.tgt810949	Target Tenant 810949	—	Use this

ke.tgt264033	Target Tenant 264033	—	Use this

ke.tgt959215	Target Tenant 959215	—	Use this

ke.india	India	India context demo city	Use this

ke.tgt794544	Target Tenant 794544	—	Use this

ke.tgt866151	Target Tenant 866151	—	Use this

ke.tgt175063	Target Tenant 175063	—	Use this

ke.tgt415654	Target Tenant 415654	—	Use this

ke.tgt657873	Target Tenant 657873	—	Use this

ke.tgt283082	Target Tenant 283082	—	Use this

ke.tgt646297	Target Tenant 646297	—	Use this

ke.tgt853320	Target Tenant 853320	—	Use this

ke.testcityb	Test City B	Test City B	Use this

ke.tgt813440	Target Tenant 813440	—	Use this

ke.tgt432511	Target Tenant 432511	—	Use this

ke.tgt392767	Target Tenant 392767	—	Use this

ke.testcitya	Test City A	Test City A	Use this

ke.tgt920603	Target Tenant 920603	—	Use this

ke.tgt974414	Target Tenant 974414	—	Use this

ke.tgt467281	Target Tenant 467281	—	Use this

ke.tgt409315	Target Tenant 409315	—	Use this

ke.tgt259065	Target Tenant 259065	—	Use this

ke.tgt456068	Target Tenant 456068	—	Use this

ke.tgt650246	Target Tenant 650246	—	Use this

ke.tgt693992	Target Tenant 693992	—	Use this

ke.tgt246124	Target Tenant 246124	—	Use this

ke.tgt844375	Target Tenant 844375	—	Use this

ke.tgt450822	Target Tenant 450822	—	Use this

ke.tgt295526	Target Tenant 295526	—	Use this

ke.tgt010141	Target Tenant 010141	—	Use this

ke.tgt282193	Target Tenant 282193	—	Use this

ke.tgt298441	Target Tenant 298441	—	Use this

ke.pwt77125862	Playwright Test 77125862	Playwright Test 77125862	Use this

ke.tgt557012	Target Tenant 557012	—	Use this

ke.escdemo	Escalation Demo	—	Use this

ke.demo	Demo County	—	Use this

ke.tgt288797	Target Tenant 288797	—	Use this

ke.tgt809956	Target Tenant 809956	—	Use this

ke.tgt409853	Target Tenant 409853	—	Use this

ke.tgt231852	Target Tenant 231852	—	Use this

ke.tgt996672	Target Tenant 996672	—	Use this
← Back

DIGIT Complaints Management • Press Ctrl+/ for help
